Designator,Val,Package,Mid X,Mid Y,Rot,Side
C2,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,136.0805,-113.3602,90,bottom
C4,10pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,167.5384,-112.5601,90,bottom
C5,2.2uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,134.8105,-134.7597,270,bottom
C6,10pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,170.7388,-112.5601,90,bottom
C8,24pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,149.9362,-115.9891,180,bottom
C9,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,132.334,-113.3475,90,bottom
C10,24pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,149.9362,-117.1321,0,bottom
C11,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,136.4615,-134.1501,270,bottom
C12,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,133.604,-113.3475,90,bottom
C14,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,122.4788,-128.2446,180,bottom
C15,0.01uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,137.7315,-134.1501,270,bottom
C17,0.01uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,143.4592,-123.0757,0,bottom
C18,0.01uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,143.4592,-124.2314,0,bottom
C19,0.01uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,134.8105,-113.3602,90,bottom
C21,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,139.0015,-134.1501,270,bottom
C23,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,124.8918,-123.3043,180,bottom
C25,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,124.9045,-122.0343,180,bottom
C26,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,70.0024,-82.8675,90,bottom
C27,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,64.0334,-83.1215,180,bottom
C28,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,180.4797,-137.5283,180,bottom
D13,LED_RED,LED_0603_1608Metric,137.541,-106.0958,270,bottom
D14,LED_GREEN,LED_0603_1608Metric,140.4366,-106.1466,270,bottom
D15,+3.3V,LED_0603_1608Metric,75.2094,-85.725,180,bottom
FB1,330Ohm@100MHz,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,121.7295,-126.3396,0,bottom
FB2,330Ohm@100MHz,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,65.9384,-79.756,270,bottom
J8,USB_B_Micro,USB_Micro-AB_Molex_47590-0001,61.3664,-98.552,90,bottom
R36,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,82.2579,-51.6509,180,bottom
R37,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,82.2833,-52.9209,0,bottom
R49,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,128.524,-111.9251,270,bottom
R50,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,83.9851,-166.7637,0,bottom
R51,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,83.947,-168.1734,180,bottom
R52,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,84.1502,-177.419,0,bottom
R53,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,84.1502,-178.816,180,bottom
R54,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,129.921,-111.9251,270,bottom
R58,4.7K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,137.5283,-102.489,90,bottom
R60,4.7K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,140.462,-102.5017,90,bottom
R62,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,169.4434,-119.9261,0,bottom
R76,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,72.0344,-85.725,0,bottom
R87,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,164.4904,-146.6596,0,bottom
R88,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,164.5285,-144.9705,0,bottom
R89,100,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,68.6054,-96.647,0,bottom
R90,100,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,68.5673,-99.7204,0,bottom
R91,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,180.4162,-138.9253,0,bottom
SW6,B3F-1000,SW_SPST_Omron_B3FS-100xP,188.5442,-133.7183,180,bottom
U5,TM4C123GH6PM,LQFP-64_10x10mm_P0.5mm,133.9088,-123.8123,0,bottom
U6,TPS73633DBV,SOT-23-5,68.4149,-87.0585,0,bottom
U7,TVS0500DRV,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,68.9864,-92.329,180,bottom
C1,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,94.3991,-101.1809,90,top
C3,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,89.1921,-161.5694,0,top
C7,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,89.7128,-116.3447,270,top
C13,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,92.6338,-116.3447,270,top
C16,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,94.5388,-124.8029,90,top
C20,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,90.6018,-124.6505,90,top
C22,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,90.3478,-139.5603,270,top
